timestamp_utc,timestamp,open,high,low,close,volume,turnover
2023-12-31 23:01:04.128000+00:00,1704063600000,2275.76,2286.36,2273.04,2279.01,13557.36,30913915.1798
2023-12-31 23:29:28.064000+00:00,1704065400000,2279.01,2286.3,2277.66,2283.88,4157.64,9488310.9231
2024-01-01 00:30:38.080000+00:00,1704069000000,2293.0,2299.74,2290.41,2297.63,7446.12,17088175.9244
2024-01-01 00:59:02.016000+00:00,1704070800000,2297.63,2302.85,2294.92,2301.22,6024.18,13853222.4106
2024-01-01 01:29:37.024000+00:00,1704072600000,2301.22,2309.25,2301.22,2306.17,8749.11,20182449.2188
2024-01-01 02:30:47.040000+00:00,1704076200000,2299.2,2301.9,2293.6,2295.26,4265.14,9798781.3751
2024-01-01 02:59:10.976000+00:00,1704078000000,2295.26,2296.99,2282.58,2284.35,6756.56,15472236.124
2024-01-01 03:29:45.984000+00:00,1704079800000,2284.35,2285.9,2271.92,2275.83,9307.86,21204195.7064
2024-01-01 04:30:56+00:00,1704083400000,2273.92,2281.6,2273.32,2281.38,5495.25,12513838.5394
2024-01-01 04:59:19.936000+00:00,1704085200000,2281.38,2285.31,2277.88,2280.63,5655.26,12905612.6558
2024-01-01 05:29:54.944000+00:00,1704087000000,2280.63,2282.4,2274.36,2277.82,3255.48,7416212.9046
2024-01-01 06:31:04.960000+00:00,1704090600000,2277.69,2285.53,2277.0,2283.89,2537.05,5791577.8305
2024-01-01 06:59:28.896000+00:00,1704092400000,2283.89,2288.71,2283.3,2288.0,3642.15,8327358.1175
2024-01-01 07:30:03.904000+00:00,1704094200000,2288.0,2290.18,2284.23,2286.76,3151.59,7207341.6391
2024-01-01 08:29:02.848000+00:00,1704097800000,2285.2,2289.59,2282.4,2289.44,2132.98,4875142.2068
2024-01-01 08:59:37.856000+00:00,1704099600000,2289.44,2294.53,2289.06,2292.0,4654.96,10668834.0931
2024-01-01 09:30:12.864000+00:00,1704101400000,2292.0,2302.66,2292.0,2302.37,6930.53,15934478.6044
2024-01-01 10:29:11.808000+00:00,1704105000000,2301.37,2305.95,2301.37,2304.48,4506.24,10380323.3295
2024-01-01 10:59:46.816000+00:00,1704106800000,2304.48,2307.8,2302.57,2304.44,5682.39,13098999.6716
2024-01-01 11:30:21.824000+00:00,1704108600000,2304.44,2307.44,2301.4,2307.09,3381.94,7792151.6353
2024-01-01 12:29:20.768000+00:00,1704112200000,2305.42,2309.84,2301.16,2302.18,4520.46,10425442.2821
2024-01-01 12:59:55.776000+00:00,1704114000000,2302.18,2309.48,2300.62,2309.04,3774.7,8703728.7323
2024-01-01 13:30:30.784000+00:00,1704115800000,2309.04,2310.91,2306.43,2306.78,3127.08,7220026.5931
2024-01-01 14:29:29.728000+00:00,1704119400000,2302.18,2307.4,2301.6,2303.3,4192.0,9661902.0563
2024-01-01 15:00:04.736000+00:00,1704121200000,2303.3,2311.98,2301.22,2308.5,6555.51,15118487.0326
2024-01-01 15:30:39.744000+00:00,1704123000000,2308.5,2321.0,2308.34,2317.36,26658.95,61721255.7128
2024-01-01 16:29:38.688000+00:00,1704126600000,2313.12,2317.69,2310.61,2312.62,6601.09,15277740.1614
2024-01-01 17:00:13.696000+00:00,1704128400000,2312.62,2319.95,2308.46,2317.4,7538.28,17451737.0536
2024-01-01 17:30:48.704000+00:00,1704130200000,2317.4,2318.87,2312.8,2315.86,7316.04,16935381.6195
2024-01-01 18:29:47.648000+00:00,1704133800000,2331.61,2332.37,2325.38,2328.96,7720.8,17982409.6401
2024-01-01 19:00:22.656000+00:00,1704135600000,2328.96,2332.26,2324.28,2331.23,5160.08,12011907.2362
2024-01-01 19:30:57.664000+00:00,1704137400000,2331.23,2343.34,2330.4,2339.66,13915.68,32524273.5059
2024-01-01 20:29:56.608000+00:00,1704141000000,2344.79,2348.2,2339.58,2343.0,7189.36,16847512.5377
2024-01-01 21:00:31.616000+00:00,1704142800000,2343.0,2348.92,2338.98,2340.13,9018.33,21135086.7329
2024-01-01 21:28:55.552000+00:00,1704144600000,2340.13,2340.65,2334.44,2340.59,7523.13,17588432.8184
2024-01-01 22:30:05.568000+00:00,1704148200000,2332.54,2338.79,2332.52,2336.41,4331.66,10115234.3411
2024-01-01 23:00:40.576000+00:00,1704150000000,2336.41,2352.43,2336.3,2349.89,13999.55,32818083.5357
2024-01-01 23:29:04.512000+00:00,1704151800000,2349.89,2354.5,2347.4,2354.5,11696.8,27499027.1025
2024-01-02 00:30:14.528000+00:00,1704155400000,2373.54,2396.37,2372.99,2392.33,36196.02,86297206.1872
2024-01-02 01:00:49.536000+00:00,1704157200000,2392.33,2401.95,2382.31,2391.9,28164.49,67395774.9468
2024-01-02 01:29:13.472000+00:00,1704159000000,2391.9,2393.46,2374.0,2381.7,13526.88,32224468.1773
2024-01-02 02:30:23.488000+00:00,1704162600000,2383.0,2385.03,2378.1,2385.01,7052.05,16799394.3054
2024-01-02 03:00:58.496000+00:00,1704164400000,2385.01,2386.87,2373.44,2379.23,9975.41,23725525.6094
2024-01-02 03:29:22.432000+00:00,1704166200000,2379.23,2391.0,2377.25,2388.21,16370.74,39045235.8253
2024-01-02 04:30:32.448000+00:00,1704169800000,2384.8,2392.15,2382.41,2389.1,6279.35,14988741.8551
2024-01-02 04:58:56.384000+00:00,1704171600000,2389.1,2393.93,2386.95,2390.89,5227.91,12498144.6114
2024-01-02 05:29:31.392000+00:00,1704173400000,2390.89,2391.9,2379.23,2379.35,7260.53,17307652.8899
2024-01-02 06:30:41.408000+00:00,1704177000000,2383.58,2383.8,2375.78,2375.85,4169.48,9924784.7405
2024-01-02 06:59:05.344000+00:00,1704178800000,2375.85,2389.61,2375.74,2383.17,9141.64,21786604.0115
2024-01-02 07:29:40.352000+00:00,1704180600000,2383.17,2391.41,2379.39,2387.82,9111.63,21740456.2964
2024-01-02 08:30:50.368000+00:00,1704184200000,2420.92,2434.96,2420.4,2429.53,38478.19,93456792.7546
2024-01-02 08:59:14.304000+00:00,1704186000000,2429.53,2431.59,2421.62,2426.0,15727.63,38155277.3687
2024-01-02 09:29:49.312000+00:00,1704187800000,2426.0,2427.68,2414.67,2417.12,14702.41,35572629.7492
2024-01-02 10:30:59.328000+00:00,1704191400000,2410.78,2411.0,2395.42,2401.61,19504.94,46866667.6552
2024-01-02 10:59:23.264000+00:00,1704193200000,2401.61,2406.23,2398.77,2401.11,10362.66,24896820.6179
2024-01-02 11:29:58.272000+00:00,1704195000000,2401.11,2403.0,2383.33,2394.66,21590.22,51641608.5289
2024-01-02 12:28:57.216000+00:00,1704198600000,2403.37,2408.53,2386.02,2390.03,24178.37,57943206.5118
2024-01-02 12:59:32.224000+00:00,1704200400000,2390.03,2399.66,2385.54,2398.41,8737.41,20916650.565
2024-01-02 13:30:07.232000+00:00,1704202200000,2398.41,2404.05,2396.27,2401.16,11548.69,27720910.6528
2024-01-02 14:29:06.176000+00:00,1704205800000,2394.93,2395.11,2357.35,2369.39,73335.43,174041447.9575
2024-01-02 14:59:41.184000+00:00,1704207600000,2369.39,2373.22,2353.45,2360.28,32497.94,76791390.9536
2024-01-02 15:30:16.192000+00:00,1704209400000,2360.28,2370.86,2355.8,2359.26,17218.01,40725008.5422
2024-01-02 16:29:15.136000+00:00,1704213000000,2363.35,2372.47,2360.71,2370.32,16323.36,38624429.3906
2024-01-02 16:59:50.144000+00:00,1704214800000,2370.32,2370.35,2362.08,2364.0,7712.64,18248723.9961
2024-01-02 17:30:25.152000+00:00,1704216600000,2364.0,2365.47,2353.47,2359.55,12655.7,29856735.091
2024-01-02 18:29:24.096000+00:00,1704220200000,2365.69,2372.12,2364.2,2368.21,6094.73,14438796.7547
2024-01-02 18:59:59.104000+00:00,1704222000000,2368.21,2375.42,2356.87,2362.38,13376.33,31659359.3788
2024-01-02 19:30:34.112000+00:00,1704223800000,2362.38,2374.66,2359.2,2371.57,9701.16,22966893.8586
2024-01-02 20:29:33.056000+00:00,1704227400000,2372.17,2373.11,2360.62,2362.07,11403.7,26972618.3987
2024-01-02 21:00:08.064000+00:00,1704229200000,2362.07,2365.04,2341.16,2354.2,35365.7,83298144.2111
